"","b","c","alpha","mse","mse_debiased"
"CF",0.702238271841978,0.908495057631508,0,78.8355503033695,78.3841012193802
"CBoost",0.675031594905661,0.879337755464636,766.293546473996,78.6197192451245,78.308998623029
"CMARS",0.702238271841978,0.908495057631508,0,78.8776912023933,78.3841012193802
"PTOForest",0.702238271841978,0.908495057631508,0,79.9919932791724,78.3841012193802
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.700851635782548,0.617101905976877,1.42708433781782,78.3083430095949,78.1391927995929
"XBART",0.702238271841979,0.908495057631508,0,81.2773994865653,78.3841012193802
"RBoosting",0.702238271841978,0.908495057631508,0,79.166461459649,78.3841012193802
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.700851635782548,1.87155604937519e-15,0.999999999999996,78.1391927995929,78.1391927995929
