"","b","c","alpha","mse","mse_debiased"
"CF",0.121020479078307,0.72180972720413,3.76785535057325,0.782928003550888,0.768752000214947
"CBoost",0.120028057722349,0.0500610500610501,0,0.770887554351437,0.770157162838944
"CMARS",0.126699889515431,0.114787344887814,0.435943385433793,0.787090893793823,0.767721287633589
"PTOForest",0.123498648164546,0.0995514032875038,0.255955839863714,0.791298684293417,0.770682657461386
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.121202534025165,0.259776653868183,0.902657420026774,0.789757027943298,0.769240640987642
"XBART",0.127305171975943,0.220399990919322,0.909057540248923,0.780361612556404,0.765541989033028
"RBoosting",0.123450088364834,0.068440452006254,0.16730624386156,0.813577532411217,0.769671624679412
"RLasso",0.125040187087831,0.227373037157931,1.00089661355233,0.774710201688874,0.761360838914161
"RSlearner",NA,NA,NA,NA,NA
"stack",0.13335110043403,2.55171175262624e-16,1,0.759047676111366,0.759047676111366
