"Trial","outcome","Min","1stQu","Median","Mean","3rdQu","Max","Var"
"NCT00113763","OS",-10.5686904552546,-0.263842575878768,0.78421225486571,0.53235615277969,1.55959012140419,6.00753110542584,3.27217835917649
"NCT00113763","PFS",-9.3646042191166,0.955039529513669,1.29329637083622,1.33454773273844,1.83961198576565,5.81551957699397,1.55622156028533
"NCT00113763","RSP",-0.367991121549139,-0.110723695005495,-0.0177642620251276,-0.0401807712178723,0.0264327236478122,0.500995266816206,0.0135721155324479
"NCT00460265","OS",-81.3708610333073,-11.8624482066804,-4.05936541112147,-3.73124907066387,11.1927517771016,47.2197759306003,419.568327977663
"NCT00460265","PFS",-10.8663569924425,-2.18062041477535,-0.110779815477272,-0.0688367698383918,1.67895731017374,43.1591289794552,13.5600532180247
"NCT00460265","ORR",-66.0979093728391,-23.5884161724406,-11.536881191212,-7.16360647869846,3.69617290280262,122.590260819139,766.662122315116
"NCT00364013","OS",-71.5979476127341,-1.79671109341107,-1.10375927083729,-0.246441025790132,12.6283946706228,41.450962724835,179.287842703177
"NCT00364013","PFS",-63.6759599421346,-2.31097016303067,2.1566410105516,2.17491030122829,6.90687035942569,49.5520281863481,74.6395929127545
"NCT00364013","RSP",-0.394888470176944,-0.134886541350146,-0.0676102025634546,-0.0690922006988975,-0.00948975167709043,0.307283477873964,0.0109514287850697
"NCT00115765","OS",-12.3324251768052,-2.75059108514333,-0.33820236485346,-0.987960154641824,1.10694806053658,11.4325182261575,8.34128279376912
"NCT00115765","PFS",-6.78587584274076,-1.29741425544854,-0.587326815807219,-0.511570773419433,0.235246266906401,3.63174136216592,1.53817440117406
"NCT00115765","TF",-11.891031358633,-0.424911896489717,0.0175869820574911,0.0474247697211841,0.53143996089291,3.397461318681,1.09860386752477
"NCT00115765","ORR",-2.06557191345326,-0.319237911698107,-0.0333660004038841,-0.0240197375483244,0.290515795004896,1.95099613455862,0.243095060057576
"NCT00339183","OS",-5.349497667347,-0.170212555255308,1.71639791789175,1.39930904653377,3.48981565675457,8.19850420576553,5.11495250550275
"NCT00339183","PFS",-0.890381796775993,1.2167015557676,1.77525798614574,1.74850620325084,2.33088918871408,5.29074746161664,0.631146578205508
"NCT00339183","ORR",-1.05751367435317,-0.436621002221547,-0.318801093483236,-0.294787392755257,-0.202607895752752,1.523520056324,0.087967924437817
