"term","estimate","std.error","statistic","p.value"
"mean_pred",2.45757230757667,3.7013623683689,0.663964255047975,0.254009751192745
"hetereogeneity",2.26919933505057,2.3312437942023,0.973385683940038,0.166184900752041
