"term","estimate","std.error","statistic","p.value"
"mean_pred",-0.812655567525602,1.75597263492831,-0.462795120698893,0.677814584760124
"hetereogeneity",-0.257419786824426,1.51145037632512,-0.170313091886157,0.567470962285507
