"term","estimate","std.error","statistic","p.value"
"(Intercept)",492.067311582688,375.175084278284,1.31156713812504,0.19031065500353
"AGE",0.271298918537327,0.122575437230603,2.21332205429485,0.0273581050276664
"SEX",11.687058003434,3.21892429557357,3.63073403730097,0.000313874053016994
"RACE",-0.214851987415271,1.15793652851138,-0.185547292209082,0.852880350955804
"PRHNTRTC",4.81539275616613,10.9487860625977,0.439810653768827,0.660277714373435
"TRTDUR",-0.061515188301923,0.00875793004478144,-7.02394150071773,7.66291482955618e-12
"DIAGTYCD",-0.574687449297884,0.598740759324055,-0.959826837155155,0.337639042180453
"TUMCAT",-1.28688738742991,1.86553472634279,-0.689822263428319,0.490648606851956
"DSTATUS",-4.04636253873173,4.58749774535817,-0.882041313878796,0.378208231567235
"B_WEIGHT",-0.61910662533979,0.927547427497699,-0.66746627394568,0.504804032483216
"B_HEIGHT",-0.521256329313304,0.403005607958085,-1.29342202445857,0.196504537352292
"B_BSA",48.8176344153634,70.560627397215,0.69185374643211,0.48937300022321
"PRSURG",-2.15505779155267,2.69775807352517,-0.798832857809464,0.424793408049032
"PRRADIO",-9.23398658058486,9.82676722644376,-0.939676942355597,0.347869063312967
"DIAGMONS",-0.0183330727337555,0.0308344759891944,-0.594564108700279,0.552422816853279
"DIAGSDCD",-0.406270777885748,0.649310149322279,-0.62569602263232,0.531819998653805
"HDIFFMCD",-0.127816769448853,1.27484484011027,-0.100260647748942,0.920180425199789
"DISTMET",-2.93335083632698,2.45883513266037,-1.19298394486222,0.233481409451239
"RECDIS",-2.01946984412723,2.47969785064958,-0.814401578643227,0.415830020228127
"CHILDPOT",18.9265503880699,6.76544216623227,2.79753339442266,0.00536220424027699
"Absolute_Neutrophil_Count",-2.87295034359644,2.13771492698024,-1.34393520264875,0.179621891051179
"Alanine_Amino_Transferase",0.0281189402679184,0.0627818681704322,0.447883140265668,0.654445232917729
"Albumin",-0.0121768146982075,0.0243823213924861,-0.4994116229622,0.61772462564527
"Alkaline_Phosphatase",0.005436506414106,0.0111309358789987,0.488414134552991,0.625485788601996
"Aspartate_Amino_Transferase",-0.011826689025134,0.0823867325042992,-0.143550893033861,0.885917041098729
"Bicarbonate",0.088310799814735,0.180185485764442,0.490110507181384,0.62428587317552
"Calcium",0.00763360765658888,0.082462766726503,0.0925703558056279,0.926284592704461
"Chloride",-0.405917100483072,0.209045495889756,-1.94176439322634,0.0527666559984097
"Creatinine",-5.85400009560492e-05,0.000190852238047293,-0.306729444490679,0.759186030179509
"Estimated_Creatinine_Clearance",0.35935216187371,2.44276428436975,0.147108816095379,0.883109618027136
"Hematocrit",27.6283716315467,39.4027301633176,0.7011791192395,0.483540477676732
"Hemoglobin",-0.012901772986742,0.103446706751548,-0.124719030618623,0.900799657346393
"Lactate_Dehydrogenase",0.00546241359244182,0.00436480360391155,1.25146835645632,0.21139016431778
"Lymphocytes",-4.55498994533902,2.15546031400419,-2.11323303692715,0.0351106783044292
"Magnesium",-2.01066084123368,6.67760505995546,-0.301105085308398,0.763468380367276
"Phosphorus",0.180474364871038,0.18489413037757,0.976095695966621,0.329522387282914
"Platelets",-0.0157682571321795,0.00814005179333146,-1.93712000028025,0.053333393522718
"Potassium",-0.030310441794708,0.0377742381983254,-0.802410405620086,0.422723742222797
"Red_Blood_Cells",0.0591693243304017,2.72860322304988,0.0216848400055269,0.98270861885544
"Serum_Urea",-0.919125923920699,0.476974975247121,-1.92698982466428,0.0545872507519106
"Sodium",-0.448070714847919,0.183236748928782,-2.44531032921824,0.0148411024536328
"Total_Bilirubin",0.10061832847952,0.181027069311503,0.555819242184054,0.578600611755592
"Total_Neutrophils",0.81242615083072,0.864902038360788,0.939327362865831,0.348048270847993
"Total_Protein",-0.00219536371238891,0.0126235160773102,-0.173910636224,0.862011053902381
"Uric_Acid",-5.15553387087149e-05,1.67541805796506e-05,-3.07716264986026,0.00221264873771356
"White_Blood_Cells",2.53649198955835,1.89728846545964,1.33690371060357,0.18190494838092
"ELIGIBLE",-1.4558133521438,3.20837598337984,-0.453753973875026,0.6502167018162
"non_target_count",0.00460784784794658,0.459108136297777,0.0100365196859808,0.991996436333962
"target_count",-1.71772834125972,0.752004545632713,-2.28419941240445,0.0228077491429882
"target_LSLD",-0.0751257633033572,0.0479809223309787,-1.56574237537848,0.118086274926497
"OTANY",0.0277022632778364,5.44515632120351,0.00508750560015393,0.995942947826018
"Biopsy",0.399501697823277,1.17093165274427,0.341182764072505,0.733119448125123
"Resection",-0.310344754005073,1.33208691634851,-0.232976354768039,0.815881842506895
