"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",7,0.0585391830886011,500,4,1e-04,0.1,3
"2",1,78.2021096310429,1000,5,0.005,0.3,4
"3",1,20.2984053453911,200,10,0.005,0.3,4
"4",1,45.8276235610901,200,10,0.01,0.5,4
"5",10,24.4868063734916,200,5,0.01,0.3,4
"6",55,187.851665696862,5000,4,0.005,0.2,2
"7",1,0.000122540790563924,200,10,5e-06,0.5,3
"8",1,0.00099264758849181,100,4,5e-05,0.3,2
"9",1,2.61407478900947,5000,4,5e-05,0.1,5
"10",5,24.1299568135924,100,10,0.01,0.1,4
