"","CF","CMARS","PTOForest","XRF","XBART","RBoosting","RLasso","RSlearner"
"CF",NA,0.430208563131402,0,2.6854918289132e-10,6.97220059464598e-14,2.22044604925031e-15,2.44249065417534e-14,2.22044604925031e-15
"CMARS",0.430208563131402,NA,0.10418758400262,0.0118198399983025,0.504629354026144,0.218257356587323,0.342200082507301,0.811267109812704
"PTOForest",0,0.10418758400262,NA,1.30969013412141e-10,2.09781081395022e-11,1.40554234917545e-13,1.05528030758251e-10,4.15202005132898e-06
"XRF",2.6854918289132e-10,0.0118198399983025,1.30969013412141e-10,NA,0.000479234671876938,0.0012760403999601,0.00356534293621591,0.0118971210118364
"XBART",6.97220059464598e-14,0.504629354026144,2.09781081395022e-11,0.000479234671876938,NA,7.11379080087227e-08,8.14903700074865e-13,2.88657986402541e-15
"RBoosting",2.22044604925031e-15,0.218257356587323,1.40554234917545e-13,0.0012760403999601,7.11379080087227e-08,NA,4.04702937828461e-11,6.86840866759297e-06
"RLasso",2.44249065417534e-14,0.342200082507301,1.05528030758251e-10,0.00356534293621591,8.14903700074865e-13,4.04702937828461e-11,NA,1.92956761679852e-13
"RSlearner",2.22044604925031e-15,0.811267109812704,4.15202005132898e-06,0.0118971210118364,2.88657986402541e-15,6.86840866759297e-06,1.92956761679852e-13,NA
