"","CF","CMARS","PTOForest","XRF","XBART","RBoosting","RSlearner"
"CF",NA,0.0733831434906158,0,0,0,0,7.22311099821127e-12
"CMARS",0.0733831434906158,NA,0.0121610658929967,0.00016789112915383,0.661029879159653,0.998847768101143,0.825296559155284
"PTOForest",0,0.0121610658929967,NA,0,2.66453525910038e-15,4.60076421404665e-13,2.49656419890609e-05
"XRF",0,0.00016789112915383,0,NA,1.79884063200575e-09,7.28973153396595e-07,0.0126130690439052
"XBART",0,0.661029879159653,2.66453525910038e-15,1.79884063200575e-09,NA,2.19284856939339e-09,4.82724971107018e-13
"RBoosting",0,0.998847768101143,4.60076421404665e-13,7.28973153396595e-07,2.19284856939339e-09,NA,4.47279990822835e-11
"RSlearner",7.22311099821127e-12,0.825296559155284,2.49656419890609e-05,0.0126130690439052,4.82724971107018e-13,4.47279990822835e-11,NA
