"","CF","CMARS","PTOForest","XRF","XBART","RBoosting","RLasso","RSlearner"
"CF",NA,0,7.70938868299709e-13,0,4.84057238736568e-14,0,0,0
"CMARS",0,NA,0.00206357617184683,1.75210046471364e-09,8.85897175173511e-07,3.10862446895044e-15,0,0
"PTOForest",7.70938868299709e-13,0.00206357617184683,NA,1.90147016798647e-07,1.57788820009941e-07,1.21259891017189e-10,5.42625874233593e-06,8.89224706683844e-05
"XRF",0,1.75210046471364e-09,1.90147016798647e-07,NA,1.53731695595738e-07,0,2.87818657795924e-11,1.78729253619281e-10
"XBART",4.84057238736568e-14,8.85897175173511e-07,1.57788820009941e-07,1.53731695595738e-07,NA,2.6860913493465e-10,9.48552096868838e-08,2.27983094625017e-08
"RBoosting",0,3.10862446895044e-15,1.21259891017189e-10,0,2.6860913493465e-10,NA,1.33226762955019e-14,9.76996261670138e-15
"RLasso",0,0,5.42625874233593e-06,2.87818657795924e-11,9.48552096868838e-08,1.33226762955019e-14,NA,0
"RSlearner",0,0,8.89224706683844e-05,1.78729253619281e-10,2.27983094625017e-08,9.76996261670138e-15,0,NA
