"maxterms","eps","degree","sum_rsstesthat"
3,0.01,2,4321.27445689699
3,1,24,4361.33232697707
3,1,2,4386.58682068094
3,5e-05,30,4562.34116701433
3,5e-06,4,4996.49562887496
3,5e-05,30,8709.43158431145
5,0.5,16,12688.331757317
5,0.1,30,12986.4060862632
5,0.01,24,13299.2322219655
5,0.5,4,18939.5709769498
7,1e-04,24,18967.4053571079
11,1e-04,30,23827.5857058545
7,0.1,16,29648.5233306149
11,0.2,2,37740.320220247
11,1e-04,24,40987.4765091547
11,0.5,10,43667.8985033321
15,0.005,24,48544.8954942491
11,1,4,54296.9106957006
15,0.1,30,54445.882154896
15,0.01,4,56484.1414087832
15,0.1,10,59419.3223232404
15,0.005,4,59795.7853188822
15,1e-04,10,63921.1733642628
15,0.2,24,70992.1891460419
15,0.2,16,74659.8754353033
21,0.01,10,74741.9617901767
21,0.1,2,79163.7427186275
21,1e-04,4,89580.7544425629
41,5e-05,4,95367.2855165772
21,5e-06,20,102174.685018139
41,0.01,30,177096.18984607
41,1e-04,24,183641.203174399
51,0.1,2,189379.800156529
51,5e-06,10,210171.740990338
51,5e-05,10,210222.613875128
51,0.005,16,211942.27402696
51,5e-05,30,219810.106030044
41,0.5,2,222424.965602158
51,5e-06,4,240509.765239436
51,0.1,2,246460.755841453
51,1,4,305394.102943778
101,0.005,16,387886.820331125
101,1e-04,30,439498.408325456
101,5e-05,24,552847.88211327
41,5e-05,20,806523.08872957
101,0.1,10,52500132.6801136
101,1,24,163476276.511305
51,0.2,4,1073994768.32287
51,0.1,30,484778016066.013
21,5e-06,16,NA
