"","maxterms","eps","degree","sum_rsstesthat"
"8",3,5e-06,10,4671.6988521505
"10",3,1,62,4768.8423833426
"26",3,0.005,10,4916.47463375241
"13",5,0.005,62,5422.54671885429
"11",3,1,78,6101.28824607151
"19",3,0.2,5,6465.34648874603
"15",3,0.005,26,6623.51143733786
"2",5,0.005,26,7163.89592788695
"16",5,0.2,41,8761.57154003759
"29",5,0.005,10,9196.66194633252
"27",5,0.005,41,9373.64189022187
"5",5,0.1,78,9998.53078577518
"4",7,5e-06,26,10074.8813119926
"6",5,5e-06,41,10425.9075494632
"20",5,5e-05,5,12074.3083973621
"3",7,0.1,62,13830.9498846462
"18",7,5e-06,52,14656.8931116731
"22",7,0.1,78,14978.5516867863
"12",7,5e-05,62,21111.6633712224
"23",7,0.1,41,22533.6506276187
"1",21,0.005,78,42399.6432780145
"17",11,0.5,26,129905.795830284
"28",5,5e-06,78,177370.690986013
"14",51,0.005,10,276994.62984439
"25",105,0.01,41,4321401.57169087
"24",105,0.01,10,118272010527.471
"7",15,0.5,41,NA
"9",51,0.01,5,NA
"21",11,5e-05,52,NA
