"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"31",1000,28,10,4433.60533498255
"10",50000,28,4,6730.11748797126
"46",500,28,93,7188.44547769523
"14",10000,52,10,8492.97746869392
"9",50000,52,10,9065.0320921396
"47",1000,52,93,9320.23660595005
"25",1e+05,52,4,9546.81708595846
"49",50000,52,93,9599.30660144888
"41",10000,52,93,10025.8826849392
"20",500,52,93,10125.5442533678
"21",5000,28,5,10146.1375710848
"17",1e+05,28,10,10365.6108360307
"39",1000,28,93,10408.8670693477
"42",10000,28,4,10904.8570211909
"12",10000,28,25,11396.5511477056
"1",50000,52,4,11413.3383284434
"26",50000,28,4,11440.7509279626
"18",10000,28,10,11446.5802375586
"11",500,52,5,11761.7233473355
"24",500,52,10,11819.1034552752
"4",1000,28,5,11831.7864996678
"44",10000,28,4,11917.4390778508
"40",5000,52,5,12031.7348417044
"36",500,52,25,12464.29202729
"34",500,52,5,12632.286227716
"22",50000,28,93,12695.8725926575
"19",1e+05,28,93,12739.8557407357
"33",50000,28,5,12954.1125957706
"27",1000,28,10,13660.3346593477
"16",10000,28,10,13926.2650055014
"8",1e+05,52,93,13968.0578200379
"5",10000,52,10,14561.6720083588
"43",50000,28,5,14639.742013137
"37",500,28,25,14666.404871223
"48",5000,52,4,14747.9896010417
"29",5000,52,10,14782.22772497
"23",50000,28,93,14936.4165305397
"30",50000,28,4,15518.0395057204
"15",5000,28,25,15936.4312872923
"2",5000,52,25,16230.2783964597
"6",10000,52,5,16235.0702634552
"35",10000,52,4,16508.3573178206
"7",50000,28,5,16607.9807215494
"38",1000,52,93,16762.1140757683
"13",10000,52,93,16862.3092448485
"3",50000,28,93,16886.8177674564
"32",1000,52,4,17089.0192636419
"50",1000,52,10,17279.1691180786
"28",50000,28,5,17873.1363004336
"45",1000,52,25,20307.913145842
