"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"13",5000,56,5,739.924753973232
"15",5000,28,93,774.048866979251
"24",1e+05,28,10,774.79614528948
"30",10000,28,4,781.02743972851
"21",1000,56,25,792.599437829349
"9",5000,28,10,826.127668008518
"36",1e+05,28,4,846.143494437968
"28",500,28,93,848.76324617265
"14",10000,56,10,850.315261929147
"27",1000,56,25,852.334685036592
"3",500,56,4,857.798371522414
"33",50000,56,10,867.568391567393
"40",500,28,4,878.230611642599
"4",1000,28,93,881.706413805084
"17",5000,28,5,887.151909699483
"41",5000,28,25,889.390534824109
"37",5000,56,4,900.246517098406
"16",1e+05,28,25,914.010095568142
"35",1e+05,56,5,919.230392437805
"8",1000,56,5,925.185061795468
"46",50000,56,10,941.12635968506
"1",1e+05,56,25,950.223456186649
"19",1000,56,4,951.746814655877
"7",1e+05,56,93,953.259803864119
"26",1e+05,28,10,960.670363107115
"34",5000,56,25,971.669480825707
"25",1e+05,28,5,979.049543173074
"48",1000,28,4,985.383632375436
"31",5000,28,25,994.6620408634
"50",1e+05,56,4,995.872373554871
"10",10000,28,93,997.083673402209
"32",1000,28,10,1001.50097353132
"43",1000,28,5,1004.18116841782
"20",50000,56,25,1019.75925464995
"45",10000,28,5,1022.31223039937
"18",50000,28,10,1027.50216780033
"38",5000,56,5,1031.58041373869
"5",5000,28,4,1040.33826163883
"2",1000,28,93,1043.20902620468
"44",500,28,10,1043.32236054787
"47",1e+05,56,93,1056.6864505306
"42",500,28,25,1061.68278128351
"11",50000,28,10,1064.73914680688
"49",50000,56,93,1066.68493741794
"23",10000,56,5,1070.39867303234
"39",10000,28,93,1079.1588086947
"12",500,28,5,1098.78591456734
"6",500,56,25,1099.52896988733
"29",10000,56,4,1179.73372073804
"22",50000,28,4,1205.12012811723
