"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"19",1000,10,93,177.842663160629
"1",10000,10,93,178.499762528629
"13",50000,10,25,180.494383865216
"40",5000,10,93,181.711613344968
"3",50000,10,93,183.537799399619
"26",5000,10,5,190.475092203654
"42",10000,10,93,190.710068042313
"5",500,10,4,190.807338778436
"6",5000,10,4,191.610121782809
"35",1e+05,10,93,197.279354067781
"34",1000,10,4,199.467010686227
"39",50000,10,10,201.448127350797
"24",5000,10,5,206.466082180155
"44",500,10,4,207.407165682174
"33",5000,10,10,209.154341118311
"28",500,10,4,209.74511617637
"9",500,10,93,210.622209260495
"7",500,10,10,211.1550283083
"29",10000,10,4,213.298803529575
"23",1000,10,93,214.041535108209
"25",1000,10,25,214.373215567544
"10",10000,10,93,214.973390874445
"18",1e+05,10,4,215.072275519984
"2",1000,10,10,216.785176455059
"47",50000,10,10,216.850000628616
"43",10000,10,5,217.537823572748
"49",1e+05,10,25,222.983943925074
"21",1000,10,4,223.21136119936
"22",10000,10,10,224.717053658553
"15",500,10,5,225.121007630243
"4",500,10,5,225.833266333491
"16",1000,10,25,226.576454506763
"27",1e+05,10,4,227.865624553452
"50",10000,10,5,228.610581011084
"31",50000,10,25,230.472256844464
"8",5000,10,5,230.882963686466
"17",5000,10,25,231.727348319113
"14",10000,10,10,234.882085724605
"11",50000,10,5,236.61501648743
"45",1000,10,4,237.669412656838
"48",5000,10,4,238.574530025249
"30",1000,10,4,248.541197294472
"20",1e+05,10,10,249.053001272183
"41",1e+05,10,4,249.936153324917
"38",1e+05,10,4,251.795609444804
"46",10000,10,4,252.815387752414
"12",1e+05,10,93,257.591994933853
"36",50000,10,5,261.951792951133
"37",5000,10,10,269.21871910807
"32",10000,10,4,272.342429704532
