"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"5",5000,26,93,52.9950561160219
"29",10000,32,93,54.7996582888505
"4",5000,32,4,55.1085524026307
"15",50000,32,25,55.6940095914227
"36",1e+05,26,5,55.9252870466464
"3",1e+05,32,93,56.428703389604
"6",1000,26,93,56.7837324293731
"24",1000,26,5,57.1080648112825
"39",500,26,25,57.6255601482688
"1",5000,32,93,57.8944465562118
"22",10000,26,93,57.9504289131425
"49",50000,26,93,57.9541177823064
"37",5000,26,93,58.1790546259208
"16",500,26,25,58.5760568437013
"20",1000,32,93,58.716155084771
"42",1000,26,25,58.806657264783
"23",1000,26,10,58.8525618342462
"50",10000,32,93,59.1775734690252
"25",10000,32,5,59.38826267245
"33",1e+05,26,5,59.3963126833112
"17",1e+05,32,5,59.8229311149654
"28",50000,26,5,59.8385442496727
"14",1e+05,32,5,60.057140510361
"30",10000,26,25,60.1605949630526
"13",5000,26,93,60.2982569211
"12",50000,32,4,60.3975748481648
"47",10000,26,4,60.772138561072
"44",50000,26,93,60.785347956046
"21",10000,26,10,60.9112782325393
"2",1e+05,32,10,60.9643837353043
"45",10000,26,10,61.0876453385555
"40",5000,32,93,61.1596006310625
"32",500,26,10,61.505628776058
"34",500,26,5,61.5949973165087
"19",10000,32,10,61.7450695764433
"7",10000,26,93,61.8971930460017
"9",10000,32,5,61.9337344973447
"38",10000,32,4,62.4958673342048
"26",10000,26,93,62.8127187699021
"48",10000,32,5,62.8676951449923
"11",500,32,4,63.2364110686071
"41",10000,26,10,63.2477567521337
"46",1000,26,25,63.4824167782066
"8",50000,32,25,63.573210701091
"35",10000,26,25,64.2171252533805
"18",1000,26,10,64.7800287644265
"43",50000,26,25,65.2301194613398
"27",1e+05,26,93,65.4974170636366
"31",50000,26,10,65.582653167756
"10",50000,32,93,66.5369706051164
