"maxterms","eps","degree","sum_rsstesthat"
3,0.1,6,0.600762477152341
3,1e-04,4,0.901888655664617
3,1e-04,5,0.915398284470523
5,0.1,6,2.29538302433384
5,0.1,4,2.41045369569274
5,0.2,5,2.41428305494116
3,1,6,2.47784484631255
5,0.1,5,2.49696153629968
5,0.5,1,2.6894489653471
3,0.1,5,2.72020095500902
7,1e-04,5,4.28596549367034
5,0.1,2,4.51370926671068
11,1,1,5.50141718516451
15,1e-04,1,5.89373876973211
15,0.5,5,6.06037596828187
11,0.5,6,6.92684147982818
11,0.5,1,7.07620040687427
15,1,5,7.25894254180678
21,1,7,9.23925593854783
15,5e-05,1,14.5615733401767
15,5e-06,4,14.7649160031729
21,1,2,15.0611101358071
21,5e-06,2,15.8672873583548
21,5e-06,5,15.9315471619808
15,5e-05,6,16.4978190403242
21,1,4,18.3656675589873
21,0.5,2,19.4753738945442
21,0.2,5,21.3980940755258
21,0.2,4,21.6690156169668
21,0.005,2,22.4627538874571
21,5e-06,5,23.2747947697984
21,1e-04,5,24.6481952831314
51,5e-05,4,26.7118597507173
21,0.01,7,26.8401243762944
101,0.2,1,54.7076987019294
51,0.005,7,54.8678056392964
101,0.2,4,63.8041423269691
101,0.5,4,68.727637993
101,1,1,68.9934232288436
101,5e-06,7,74.641209193042
101,0.1,7,91.7577964443391
101,5e-05,4,123.375958787695
101,0.5,4,144.295865499204
101,1,7,176.282335306556
21,0.5,4,257.519609296448
