"maxterms","eps","degree","sum_rsstesthat"
3,1,48,1.23198950979426
3,0.005,3,1.26663961127499
3,5e-06,32,1.39616197027974
3,0.005,48,1.4694956070065
3,1,3,1.58772587867653
3,0.005,3,1.5924846155263
3,0.5,6,1.84782750311049
7,0.1,16,2.8555425021389
5,0.01,6,2.88183051680896
5,5e-06,3,3.19579912728551
7,5e-05,32,3.45304414063598
7,0.5,38,3.58573135724712
5,5e-06,25,3.67929888383827
5,0.5,38,4.23746329741142
7,5e-05,48,5.68858284987534
7,0.1,25,5.96109799758184
11,5e-06,48,7.4597731335266
11,0.005,6,8.71020103263164
11,0.5,3,9.81708623835839
11,1,25,9.82208367976834
15,1e-04,25,12.2919328931266
11,0.1,38,19.2738420987543
11,0.2,38,33.706755346973
15,0.1,3,55.3288225346494
65,0.005,38,56.1852327678871
65,1e-04,48,69.5964044754268
101,1e-04,32,72.6979011830502
21,0.01,6,132.924664668767
11,1,16,941.591493234594
