"maxterms","eps","degree","sum_rsstesthat"
3,1e-04,6,1.51703408614405
5,1,16,2.96800838215662
5,0.1,16,3.10293801035989
7,0.1,32,4.16399842165069
5,5e-05,38,4.19998443006784
7,0.01,6,5.265791245356
7,0.005,3,5.67292194689027
7,5e-06,25,5.69538666533779
7,0.01,32,5.85719667714169
11,1e-04,25,8.7105200478302
15,0.1,16,9.87379996446307
7,0.1,48,14.2653924452603
21,0.005,3,16.1774725806435
21,1e-04,48,18.0619248184286
51,5e-06,32,28.6863040173378
15,0.2,16,33.2899858864328
65,5e-06,38,42.941196866215
101,5e-05,6,48.0265588413028
51,0.005,38,50.8731493794259
101,1e-04,3,52.8589298435175
7,5e-06,6,74.7295269332878
51,0.005,48,110.238273579301
51,5e-06,32,110.999678478262
101,5e-06,3,116.94879482629
101,0.005,32,153.039401009604
15,0.2,48,766.610449103743
11,0.005,32,769.119611970595
21,0.5,48,1208.87861685579
21,0.5,38,1530.12412652475
11,0.005,38,NA
