"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"13",10000,28,25,2620.44910295053
"16",1e+05,56,25,2659.20358870806
"10",5000,56,10,2728.87357737694
"42",1e+05,28,10,2733.22628281318
"32",10000,56,4,2837.46397963793
"18",1e+05,28,10,2860.16894038195
"28",5000,56,25,2904.90459786685
"40",5000,28,5,2915.92643789613
"47",50000,56,93,2938.21750194079
"45",5000,28,10,2952.41319187829
"37",1e+05,56,5,2954.41274883811
"43",50000,56,10,2980.66154574317
"23",10000,28,4,2992.83936569887
"27",5000,56,4,3108.81922378838
"9",500,28,5,3128.26372326734
"26",10000,56,5,3133.99169860119
"5",1e+05,56,4,3154.68112477049
"2",50000,28,5,3160.83862943674
"48",5000,56,10,3201.62820993737
"31",1000,56,25,3230.34778282031
"3",1e+05,28,93,3263.21050873399
"15",1000,28,93,3301.9976567045
"21",1000,28,25,3308.42126813055
"49",1000,28,10,3317.00010647382
"7",5000,56,5,3358.47479287091
"17",50000,28,25,3370.29508781315
"50",500,28,25,3380.13472039769
"44",5000,56,10,3386.27947140387
"36",1000,28,10,3410.25108653241
"12",5000,56,25,3484.58193435385
"30",500,28,10,3507.70649386232
"20",1e+05,28,93,3538.15439021266
"33",500,56,4,3543.42309584971
"46",50000,56,25,3567.17656662624
"22",10000,28,4,3574.49237278221
"8",10000,56,10,3574.67894475547
"1",5000,28,10,3578.92942908686
"6",1000,56,4,3623.6420163096
"38",50000,28,93,3675.23451073595
"4",500,28,93,3682.37956240263
"35",1e+05,28,25,3703.45309406818
"19",10000,28,10,3727.72632957531
"14",10000,28,25,3746.08032784308
"24",1e+05,56,25,3760.68087342131
"39",5000,28,25,3791.23581143952
"34",500,56,93,3821.04800171254
"41",50000,28,93,3842.30805561308
"29",1e+05,28,4,3865.89914637475
"25",5000,28,93,3979.05181209595
"11",10000,56,25,4213.95379866592
