"","maxterms","eps","degree","sum_rsstesthat"
"50",3,5e-06,10,36.0234099233009
"35",3,0.01,5,43.7538548746069
"45",3,0.2,12,44.9191644547805
"27",3,1e-04,15,48.5196408506828
"20",3,5e-05,8,48.6368422805545
"10",3,0.2,8,50.2006265035297
"1",5,0.005,2,71.5083347760973
"12",5,5e-05,10,82.0546126760309
"44",5,0.5,8,84.0779912321686
"42",5,0.2,15,87.0699353415467
"15",5,0.2,8,87.5816999261994
"4",5,0.1,1,93.1197138673635
"2",5,0.5,2,97.8039485707807
"47",5,5e-05,8,101.974470089132
"32",5,0.2,10,102.805868574799
"14",7,0.005,10,105.488715684311
"34",7,0.01,8,124.901998069566
"24",7,5e-06,15,135.883017578725
"30",7,5e-05,15,138.654233978273
"36",7,0.01,1,145.36636864727
"41",7,0.5,2,171.813339216892
"40",11,0.5,5,189.047139667854
"19",11,1,1,244.04251083763
"39",11,5e-06,15,244.294967010701
"38",15,1e-04,12,268.932053485045
"21",15,0.2,8,299.203632632053
"25",15,5e-05,15,323.648700624338
"29",15,5e-06,10,323.689059532974
"23",11,0.1,5,338.118654553825
"28",15,1,2,354.021343768709
"11",15,1e-04,2,383.861226968427
"48",15,0.1,12,387.582036477815
"5",21,0.1,12,411.542916161429
"22",21,5e-06,12,411.981640583498
"7",21,5e-06,2,446.969449848422
"31",21,5e-05,5,451.237804019009
"37",21,0.2,12,484.831213989229
"8",21,1,5,784.392947155238
"6",21,1,10,901.73863221544
"49",51,1e-04,10,1086.05235262755
"16",51,1e-04,8,1215.8409627954
"26",51,0.1,5,1368.40409896852
"9",101,5e-05,15,2069.82636555263
"17",51,0.1,12,2083.46503938918
"3",101,5e-06,2,2355.83792547451
"13",101,0.2,15,5047.45202947651
"46",101,0.1,10,11278.7504608143
"18",101,1,2,41357.3474710992
"33",11,0.5,10,NA
"43",21,0.1,10,NA
