"maxterms","eps","degree","sum_rsstesthat"
3,1,5,335.474203610357
3,1e-04,56,362.78828673327
5,0.01,11,673.805998159002
3,1e-04,11,710.858646961452
3,5e-06,56,747.519008823239
3,0.2,67,786.609008182927
5,0.005,56,1111.60468443708
5,5e-06,11,1311.78366489954
7,0.005,84,1454.91191595918
7,0.01,84,1594.8249793591
7,5e-05,44,1708.9312211022
7,0.01,56,1730.86817695451
7,1e-04,67,1933.59811223783
7,0.5,5,1938.14578163928
7,0.005,56,1944.90638568168
7,0.1,11,2152.35025099297
11,1e-04,44,2279.4152083759
11,5e-06,84,2907.24250226535
7,0.2,5,2980.31431125314
11,1,28,3089.11769242013
15,0.01,44,4642.46900188367
15,1e-04,28,4793.24921946868
15,1e-04,11,4926.9253921009
5,0.01,84,5121.80487427962
15,5e-06,84,5445.76159770152
15,5e-06,5,6555.38864581024
21,0.2,5,8473.06522695991
51,0.005,5,19182.5489198828
51,0.1,28,29995.430450676
101,5e-05,28,38511.4538718701
113,0.01,44,64698.4061778644
21,1,56,148982.545447148
101,0.01,56,194428.116105543
11,0.005,56,NA
11,0.1,84,NA
51,5e-06,44,NA
15,0.005,44,NA
11,5e-05,11,NA
