"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"1",1000,26,93,53.0797632920562
"49",50000,26,4,53.4587786625466
"7",500,32,25,54.4525729048634
"48",1000,32,5,54.661496744716
"18",5000,26,4,56.0520082983251
"4",1000,26,93,56.3481255376367
"44",10000,26,10,56.4758211250215
"14",500,32,10,57.3213865353489
"36",50000,32,93,58.0056412177522
"31",10000,32,93,58.0070519123081
"37",1e+05,26,93,58.2607815900532
"26",1e+05,26,10,58.2698498567836
"6",1e+05,26,93,58.3667094456182
"2",500,26,93,58.3709085858045
"27",50000,26,93,58.3778551032655
"32",10000,32,10,58.4487852147146
"20",1000,32,5,58.4900390558312
"46",1e+05,32,25,58.4953103970146
"40",1e+05,26,93,58.5931793229026
"38",50000,26,93,58.6774649882114
"10",1000,26,93,58.7610441360678
"24",1000,26,4,58.9900263043496
"3",10000,32,4,59.3299251928242
"8",500,26,93,59.3565854502352
"12",1000,26,5,59.3952046103458
"45",1e+05,32,25,59.6898883730543
"11",1e+05,26,10,59.7077554622315
"28",10000,26,93,59.7539021753669
"19",1000,32,4,60.0892044837114
"22",10000,32,4,60.2758955179883
"33",50000,32,4,60.3003350013291
"21",50000,32,4,60.7277491837219
"17",50000,32,93,60.975824713712
"29",1e+05,32,93,61.1177379166101
"43",1e+05,26,93,61.4236381193925
"47",10000,32,5,61.7138435147906
"35",1000,26,5,62.6550734892578
"42",5000,26,25,62.6953141691963
"15",5000,26,5,62.7512774218333
"41",500,32,25,62.7553779323869
"9",1e+05,32,10,63.59747218868
"34",500,32,10,63.6689918005578
"5",1000,26,4,64.0333592656426
"13",1000,32,5,64.2440440139903
"23",50000,32,10,65.501494542442
"50",10000,26,5,65.5817170363481
"16",500,32,10,65.587042256912
"39",500,26,5,66.2163514035058
"30",1000,32,25,67.3444102686949
"25",10000,32,10,69.3717596996778
