"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"50",1000,28,4,41.4271948196798
"32",1e+05,28,4,42.4904275341488
"20",5000,60,93,42.7245398317294
"33",500,60,25,42.8363309244992
"44",1000,60,25,42.929563350835
"25",1000,28,4,43.839543710295
"37",10000,28,93,44.4626843360591
"22",10000,60,10,44.8255957134454
"5",1000,60,10,45.2102652332285
"17",10000,28,5,45.2771730293042
"21",1e+05,60,4,45.4616583932696
"1",5000,28,10,45.9582586475111
"39",10000,60,93,46.1004966220888
"45",5000,28,10,46.1348144841091
"30",5000,28,4,46.1500246702888
"13",1000,60,10,46.8436298642748
"11",1000,60,5,46.8447904270684
"6",500,28,25,46.97279547328
"28",500,28,4,47.1045366321406
"10",1e+05,28,5,47.1609326254277
"19",1000,60,93,47.2112531827012
"42",50000,28,5,47.4104641302053
"26",1e+05,28,10,47.4211303572112
"27",1e+05,60,4,47.6685288812059
"14",10000,28,93,47.7197700768952
"2",10000,60,5,47.8950760690073
"35",1000,60,10,47.9365899241124
"7",5000,28,5,48.2119031004103
"40",5000,60,25,48.2236258719938
"46",500,28,4,48.3656534243566
"36",500,60,4,48.443010997489
"3",1000,60,4,48.5125507999058
"49",5000,28,4,48.5573008002134
"9",500,60,25,48.5950444288513
"31",500,28,93,48.6147497742746
"34",50000,28,25,48.7609998966389
"38",5000,60,25,48.8566356432664
"29",1e+05,28,93,49.0309257915795
"4",50000,60,25,49.4770720201302
"18",10000,28,10,49.6558141561781
"43",10000,60,93,49.9438001818257
"48",5000,28,4,50.1750813211927
"24",10000,60,25,50.1828573612566
"15",10000,60,25,50.3169048356713
"47",10000,28,5,50.66602539878
"23",10000,28,4,50.8256770730414
"12",10000,60,10,50.8346084317479
"41",10000,28,10,51.7046722268415
"16",1000,28,10,51.8515597273443
"8",500,60,25,53.6063671040669
