"num_trees","mtry","min_node_size","mean_Z_cv_error"
1e+05,31,5,14897.3823815802
500,31,4,15054.4688382399
1e+05,26,10,15321.6603039102
5000,31,93,15520.7243745648
1e+05,26,4,15805.9612756004
1000,26,93,16010.5101231117
1e+05,26,93,16097.0928986049
5000,31,5,16435.4810482447
10000,26,5,16609.0760259196
1000,26,10,16663.7838948795
50000,26,4,16697.0917627355
10000,31,25,16942.1441236706
5000,26,10,17174.3906582093
500,26,5,17264.6477355966
10000,31,93,17277.4563986349
1000,31,10,17363.4586851881
500,31,93,17379.3101814433
50000,31,5,17486.4347675135
50000,26,25,17548.3222496603
10000,26,25,17624.7035439476
50000,31,4,17796.712669067
1e+05,31,25,17808.5454179733
10000,26,93,17831.77695409
500,26,25,18036.5090129738
1e+05,31,93,18090.6532840687
1000,31,10,18240.3708190942
50000,31,5,18283.7925142169
1e+05,26,4,18422.3358937548
1000,26,5,18611.7347693367
5000,31,5,18855.5638898682
500,31,10,19086.3664587651
1e+05,26,5,19140.2694734974
50000,31,5,19147.9731903734
1000,26,25,19234.3305038487
50000,31,25,19450.4750776711
50000,26,93,19466.468192038
50000,31,10,19492.2609355724
1000,26,5,19745.974806241
500,31,10,19838.0956263651
500,31,4,20152.2266077458
1e+05,31,5,20254.157992821
5000,31,10,20487.500970204
5000,26,4,20754.5696184487
10000,31,5,20764.9780871052
1e+05,31,25,21003.8738222444
1e+05,31,25,21141.1379541111
500,26,5,21319.4106469782
1e+05,26,25,21806.1300596988
10000,26,4,22055.0486267947
50000,26,5,23007.1439399299
