"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"42",5000,26,25,54.9016478334121
"35",5000,32,5,55.0435605942187
"7",1e+05,32,5,55.6303698682334
"10",5000,32,4,55.7251252873119
"36",50000,32,93,55.7706572798935
"12",10000,26,10,56.0961887139163
"3",50000,32,10,56.6790142848462
"9",10000,26,93,56.8059895385524
"1",1e+05,26,93,56.9944687322361
"25",5000,26,10,57.9863564502092
"26",1000,32,25,58.079283237291
"16",1e+05,32,93,58.0804655170967
"23",50000,26,5,58.5637487132149
"46",1000,26,5,59.3396972947848
"44",500,26,93,59.3737237247762
"11",5000,32,93,59.3792175281549
"31",5000,26,10,59.5578709476678
"48",10000,26,93,59.5591051567056
"47",50000,32,10,59.7332242623096
"14",1e+05,26,93,59.9019814124035
"32",5000,26,5,60.2424801481881
"34",1000,32,10,60.4920144073218
"4",1000,32,10,61.128732722576
"27",10000,32,25,61.2954918291491
"45",1000,32,93,61.3061419364859
"43",50000,26,4,61.6422695702019
"22",50000,32,93,61.8478191012199
"38",50000,32,4,61.8677455571795
"33",10000,26,10,62.050994489983
"21",5000,26,4,62.0967222110694
"49",50000,32,10,62.2424163157415
"37",1e+05,26,4,62.5871645924589
"39",10000,26,93,62.625773804594
"18",5000,26,93,62.6847418106543
"29",10000,32,10,63.0826953713399
"40",1e+05,32,10,63.2087930869394
"30",500,32,4,63.4970655640086
"5",500,26,25,63.6199252747076
"20",10000,32,25,63.776344366414
"50",5000,32,4,63.9727734426322
"15",50000,32,4,64.2221463368366
"8",1000,32,4,64.5533041539351
"41",10000,26,5,64.5975461731347
"6",1000,26,4,65.0647015466051
"24",1000,26,93,65.6211517427844
"2",1e+05,26,10,65.9755043046905
"28",1000,32,5,66.2115935506422
"17",50000,32,4,66.9604338010531
"13",500,32,93,67.2669945891313
"19",500,32,4,70.2749741628791
