"","b","c","alpha","mse","mse_debiased"
"CF",-0.626816006941656,-2.38901775946598,18.5652044206233,20.2303905723421,19.3675073397801
"CBoost",-0.61913223988929,-0.677909640605437,1556.63791768783,20.2806065770261,20.1510165351574
"CMARS",-0.605266310025034,-0.655320391196433,0.151088705003,20.3831370031951,20.1439242622775
"PTOForest",-0.615754297271803,-0.666513774538356,0,23.5265523593147,20.1635272286275
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.61421308254098,-0.341486275887461,0.963129403647348,20.0268333255171,19.9966247505961
"XBART",-0.60728164790412,-0.775921234691466,0.994332811179009,20.0539613438131,19.8963217227951
"RBoosting",-0.574945060018535,-0.941596852369251,0.809314597333404,20.2817847915313,20.026242797161
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.626816006941656,-1.67571597311859e-15,0.999999999999999,19.3675073397801,19.3675073397801
