"","b","c","alpha","mse","mse_debiased"
"CF",1.90115530340404,2.2694561931792,0,47.415580689216,44.179416378379
"CBoost",1.90115530340404,2.2694561931792,0,45.7491632121855,44.179416378379
"CMARS",1.90115530340404,2.2694561931792,0,52.325335703884,44.179416378379
"PTOForest",1.90115530340404,2.2694561931792,0,48.0633976924807,44.179416378379
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.90115530340404,2.2694561931792,0,46.8823911678094,44.179416378379
"XBART",1.90115530340404,2.2694561931792,0,50.996153730967,44.179416378379
"RBoosting",1.90115530340404,2.2694561931792,0,50.4038616846615,44.179416378379
"RLasso",1.90115530340404,2.2694561931792,0,48.3855239072898,44.179416378379
"RSlearner",1.90115530340404,2.2694561931792,2.22044604925031e-16,48.7340634259023,44.179416378379
"stack",NA,NA,NA,NA,NA
