"trialID","outcome_type","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"NCT00113763","OS",0.152778403163876,0.121840535863681,1.69513845878527,4.93823319110656,5.43292222572431e-08,13,-713.144223365507,1456.28844673101,1514.99099181559,1022.96400442523,356,370
"NCT00113763","PFS",0.211270460002853,0.18930027783023,1.12322232285417,9.61623614874351,3.12349357929843e-14,10,-562.418445631302,1148.8368912626,1195.79892733026,452.924590774293,359,370
"NCT00113763","RSP",0.273106851650369,0.235830279940132,0.101840069359024,7.32650131490939,4.67668106973956e-16,18,329.955455575714,-619.910911151428,-541.640851038662,3.64036130419487,351,370
"NCT00460265","OS",0.240866527728082,0.210440336454658,18.2009403018725,7.9164206115562,5.223914089922e-20,20,-2235.89622514903,4515.79245029806,4609.37668415272,165305.83970829,499,520
"NCT00460265","PFS",0.329354026740822,0.302474428614201,3.07546482160413,12.2529371603456,3.11147863749603e-32,20,-1311.32727784485,2666.6545556897,2760.23878954436,4719.78345059335,499,520
"NCT00460265","ORR",0.266973011144545,0.259842398412488,23.821225780399,37.4404025539515,9.48134266177563e-33,5,-2383.53064709861,4781.06129419722,4810.83809587825,291669.710007905,514,520
"NCT00364013","OS",0.102324159409063,0.0856824044580859,12.8033600765684,6.14863995476965,9.7403094163348e-14,17,-3701.59641508279,7441.19283016559,7533.16321422208,150320.168822494,917,935
"NCT00364013","PFS",0.146718568870456,0.128047202762588,8.067354078317,7.85794504927165,3.02979173461865e-21,20,-3268.20471422587,6580.40942845174,6686.90145209609,59485.1324679933,914,935
"NCT00364013","RSP",0.443384756057439,0.429331901380514,0.0790546079741241,31.5512233101987,1.99498912259535e-99,23,1058.12052692622,-2066.24105385243,-1945.22739062021,5.69341387920956,911,935
"NCT00115765","OS",0.0915263920544737,0.0772629175335897,2.77431269851648,6.4168370701308,1.10225044081792e-11,13,-2046.86675690062,4123.73351380125,4194.77021401488,6372.95946589602,828,842
"NCT00115765","PFS",0.182841022863907,0.158836352788917,1.13747808301448,7.61689380827653,2.02453686544291e-23,24,-1290.51797244766,2633.03594489531,2756.16622526561,1057.08067008939,817,842
"NCT00115765","TF",0.109283563963663,0.0886952278509012,1.00058130463085,5.30803282815661,2.70386514206871e-12,19,-1185.11488157301,2412.22976314601,2511.6811434451,822.955942579313,822,842
"NCT00115765","ORR",0.131480125520671,0.119969621160102,0.462526796841628,11.4226207125269,5.43715266222486e-20,11,-539.478318369529,1104.95663673906,1166.52177692421,177.562761371158,830,842
"NCT00339183","OS",0.0924398588166404,0.0885820048689959,2.15913402959511,23.9614718626356,6.74021151563857e-19,4,-2067.95226098818,4147.90452197637,4177.01797739068,4386.81003204804,941,946
"NCT00339183","PFS",0.193477771100834,0.169756529074388,0.723882121448074,8.1563086319482,2.45498377983123e-28,27,-1022.4266101205,2102.85322024101,2243.56825474351,481.036889040487,918,946
"NCT00339183","ORR",0.145451553257924,0.132601200675336,0.276230469058801,11.3188764528541,2.52973566190106e-24,14,-117.708091872962,267.416183745924,345.052064850754,71.0383462659304,931,946
