"Covariate","DF","LogLik","diff","statistic","p-value"
"full model",7,-2383.53064709861,NA,NA,NA
"TRTDUR",6,-2423.51345659052,-1,79.9656189838133,3.8098161692588e-19
"DIAGSDCD",6,-2409.70854490521,-1,52.3557956131881,4.63030050965064e-13
"Creatinine",6,-2394.17286229008,-1,21.2844303829415,3.95934321749049e-06
"Magnesium",6,-2390.90380473969,-1,14.7463152821529,0.000122987643681729
"Serum_Urea",6,-2390.18997169058,-1,13.3186491839433,0.000262779416396155
