num_trees_min_effect,mean_cvm_effect,max_num_trees,max_leaves,eps,split_spread
560,0.00839844681359646,1000,5,0.00005,0.2
163,13.6387814853205,10000,5,0.01,0.2
231,19.6462320777826,50000,5,0.005,0.3
6184,0.894594548634892,10000,4,0.0001,0.1
141,22.7414426238586,50000,5,0.01,0.5
577,0.0283678475740013,1000,5,0.0001,0.3
2059,1.02143263591178,10000,10,0.00005,0.2
24924,1.96353070498581,50000,5,0.00005,0.2
148,16.9833138366572,10000,5,0.01,0.3
75,6.46255108464688,500,10,0.01,0.2
