"num_trees","mtry","min_node_size","mean_Z_cv_error"
50000,20,4,54041.2528773042
500,20,93,54549.7391655922
1000,20,93,55879.3650213692
10000,20,10,55972.7509551627
500,20,93,56499.38381134
50000,20,5,56646.5129123704
10000,20,93,56849.4455566105
1000,20,4,57086.7596750769
50000,20,93,57343.6742409462
10000,20,10,57876.9514942097
1000,20,10,58398.585194944
50000,20,93,58701.1818734703
1e+05,20,93,60125.6793265627
5000,20,93,60231.8235333048
1000,20,4,60276.0545799373
5000,20,93,60827.4324458255
1e+05,20,93,61495.7690883287
500,20,93,62768.798942311
1e+05,20,4,63198.1797029968
500,20,4,63383.1150776925
50000,20,10,63436.2710869676
1e+05,20,93,63602.6677868619
10000,20,5,63611.8605754137
500,20,10,63653.276699967
10000,20,10,64151.0227973815
1000,20,5,64368.5609820787
50000,20,93,64479.0456697891
1e+05,20,5,64594.1962366472
1000,20,10,64832.5895350284
10000,20,5,64862.7057851215
10000,20,93,65437.0842164105
5000,20,4,65492.6021341855
1e+05,20,10,65821.3111697628
500,20,25,65908.4001541211
10000,20,93,66247.2787024216
10000,20,5,66400.0389735254
500,20,10,66517.6465107111
500,20,10,66586.7409182804
500,20,25,67151.9384844126
10000,20,10,67273.0920619767
5000,20,10,67585.0154759392
500,20,93,67711.7810987821
50000,20,25,67890.6359804821
50000,20,5,68073.6321769019
1e+05,20,10,68074.553758176
1e+05,20,5,68185.6575128255
500,20,25,69183.2901893281
5000,20,25,69738.4706456249
10000,20,5,71702.7043827399
1000,20,10,72760.4273769383
