"","maxterms","eps","degree","sum_rsstesthat"
"16",3,0.1,56,183.040312291575
"26",3,5e-05,28,206.997338053787
"34",3,0.01,56,210.71960314739
"15",3,5e-05,56,232.918590973157
"20",3,0.005,5,258.582862761158
"23",3,0.01,56,262.788655968487
"28",5,0.5,67,372.763756682178
"14",5,0.2,28,433.997692837646
"6",5,0.5,5,448.572101300738
"9",5,0.005,84,496.621469576656
"13",7,0.1,11,835.317386658128
"11",7,0.2,5,874.204188760344
"5",7,5e-05,28,892.831314506147
"7",7,0.2,67,1039.89743362137
"19",11,1e-04,44,1512.75502567775
"24",11,1,67,1601.19088806762
"8",15,5e-06,5,1819.51476020577
"22",15,0.1,84,2041.36533682307
"29",21,1e-04,56,2284.34359559406
"1",21,5e-06,5,2352.69995031727
"36",21,1e-04,28,2660.16887282713
"25",21,5e-05,44,2893.72426192173
"31",21,5e-05,5,3638.58021499514
"17",15,0.1,67,4219.24507891152
"4",51,0.01,5,7317.5247169313
"21",51,0.005,67,8838.44762091042
"12",101,5e-06,44,19617.3234053506
"32",113,5e-06,5,26352.9299885902
"30",51,0.01,5,58232.9330662955
"33",101,5e-06,84,80457.1754484781
"2",21,0.01,28,87003.127460341
"18",113,0.01,28,1270599.34784917
"27",51,1,67,787312083.049369
"3",7,0.2,67,NA
"10",15,5e-05,11,NA
"35",11,0.2,56,NA
