"term","estimate","std.error","statistic","p.value"
"AGE",0.000754425309806748,0.00957808678241647,0.0787657626146934,0.937218936885229
"SEX",0.157151592660428,0.265316320626387,0.592317850215196,0.553637764976094
"RACE",0.0680929422398841,0.0913995995364578,0.74500263223498,0.456270128620321
"PRHNTRTC",0.120588074687853,1.04066588658783,0.115875879321115,0.907750912413263
"DIAGTYCD",-0.0769616333238337,0.0528276603335133,-1.45684349520605,0.14515958645359
"TUMCAT",-0.0119458338436327,0.153593557927927,-0.0777756177068198,0.93800654193654
"B_WEIGHT",0.241028453874979,0.090226549702769,2.67136951007207,0.00755424376233958
"B_HEIGHT",0.145552088502592,0.0380147188665994,3.82883506289657,0.000128751254647598
"B_BSA",-20.0266204842522,6.71186894514643,-2.98376214552492,0.0028472801545156
"PRSURG",0.33296401642452,0.234847602842208,1.41778758818431,0.156252788942579
"PRRADIO",-0.140229442941978,1.03713755814037,-0.135208142682071,0.892447309285549
"DIAGMONS",0.000681931936678671,0.00239050761510486,0.285266582030427,0.775439913285005
"DIAGSDCD",-0.00806008948344077,0.0522342098278872,-0.154306717953596,0.877367900598031
"HDIFFMCD",-0.176867119792181,0.102051632351723,-1.73311406899014,0.0830753962227802
"DISTMET",0.219024426305255,0.197592189657845,1.10846702333995,0.267660173238559
"RECDIS",0.332370203420789,0.206168684618597,1.61212748694429,0.106934200490362
"CHILDPOT",-0.0676711614908583,0.997216659894981,-0.0678600390590996,0.945897049600651
"ELIGIBLE",0.0623216399743508,0.282374685854062,0.22070547785066,0.825321765930582
"non_target_count",0.00320102508164401,0.0355929103118375,0.0899343451715273,0.928339388227642
"target_count",0.207244228511623,0.056892303482218,3.64274630884648,0.000269744658120716
"target_LSLD",0.00537329427088428,0.00419015559099477,1.28236151479249,0.199715858041179
"OTANY",0.0178644192702125,0.483630876049343,0.0369381281363639,0.970534338623052
"W",-39.4642760524507,44.1539339246173,-0.893788447476206,0.371435091423319
"AGE:W",0.00271691435504529,0.0134251786525819,0.202374540060424,0.839623930686388
"SEX:W",0.307802907228079,0.364153286472965,0.845256430909435,0.397967681308088
"RACE:W",-0.0287551587523203,0.131995425794656,-0.217849660919723,0.827546249845289
"PRHNTRTC:W",0.286851816597639,0.286677542094763,1.0006079112497,0.317016403833596
"DIAGTYCD:W",0.0743072604736774,0.0709216181704839,1.04773780393807,0.294759425038882
"TUMCAT:W",-0.0483371149948682,0.211114898054719,-0.228961174413848,0.818899092884522
"B_WEIGHT:W",-0.0256478784185392,0.117622939938764,-0.218051669443832,0.827388853471964
"B_HEIGHT:W",-0.0702234104202688,0.0501646547154,-1.39985834286448,0.161555742601819
"B_BSA:W",2.96575853462075,8.87626156647831,0.334122480777392,0.738287136738271
"PRSURG:W",-0.203681116694958,0.322155868555204,-0.632244005389134,0.527227446444184
"PRRADIO:W",NA,0,NA,NA
"DIAGMONS:W",-0.00389668513257815,0.00344373249976552,-1.13152956358935,0.257832267503904
"DIAGSDCD:W",0.116692208035171,0.0770325212476711,1.51484342126085,0.129812061365629
"HDIFFMCD:W",0.0761265160844612,0.151178587926283,0.503553559592589,0.614575134059625
"DISTMET:W",-0.0969280095550506,0.292735227339048,-0.331111531864895,0.74056024132706
"RECDIS:W",-0.222292601241195,0.291243547324207,-0.763253309072434,0.445312341786965
"CHILDPOT:W",0.186772066819658,1.09610694406172,0.170395843062136,0.864698841094544
"ELIGIBLE:W",0.325981871170002,0.383595378854385,0.849806564780717,0.395432639221211
"non_target_count:W",-0.0432787442536315,0.0508164819893194,-0.851667462197162,0.394398684766173
"target_count:W",-0.133219590364277,0.0834635623250979,-1.59614071881302,0.110457379391066
"target_LSLD:W",-0.00859931384304619,0.0054904543358817,-1.56622991777697,0.117294801071794
"OTANY:W",-0.652432843968059,0.650373199725343,-1.00316686518384,0.315780357265769
