"","b","c","alpha","mse","mse_debiased"
"CF",11.3062897239043,-3.2424275479682,0,4002.03249721873,3947.41559492619
"CBoost",11.4941872677025,-3.68011749677056,3400.16664874945,3952.40098234828,3943.90406312559
"CMARS",11.3062897239043,-3.2424275479682,0,4075.50845018916,3947.41559492619
"PTOForest",11.3062897239043,-3.2424275479682,0,4021.42879904978,3947.41559492619
"XBoosting",NA,NA,NA,NA,NA
"XRF",11.3062897239043,-3.2424275479682,0,4017.50350579759,3947.41559492619
"XBART",11.3062897239043,-3.2424275479682,0,4092.44531812047,3947.41559492619
"RBoosting",11.3062897239043,-3.24242754796819,0,3953.6589348558,3947.41559492619
"RLasso",11.3062897239043,-3.2424275479682,-1.11022302462516e-16,3956.21915428047,3947.41559492619
"RSlearner",11.3062897239043,-3.2424275479682,0,3974.42384035575,3947.41559492619
"stack",11.4941872677025,-5.85546791917993e-12,1,3943.90406312559,3943.90406312559
