num_trees_min_effect,mean_cvm_effect,max_num_trees,max_leaves,eps,split_spread
1,0.0151627997957828,500,10,0.00005,0.1
274,1.70420753293021,10000,4,0.00005,0.5
1,8.45300466970256E-05,500,4,0.000005,0.2
1,0.0272006292041209,500,5,0.0001,0.3
1,0.0400477581112565,1000,5,0.00005,0.1
2,221.013121547088,50000,10,0.01,0.3
1,0.000478508257389631,1000,5,0.000005,0.2
1,167.80337665225,10000,10,0.005,0.2
6,14.7857660198853,500,4,0.01,0.1
1,1.34529945688118,10000,5,0.00005,0.1
