"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1944,0.162491542372207,5000,10,5e-05,0.1,5
"2",86,0.00218422471566231,200,10,1e-04,0.1,5
"3",391,0.000101185931117695,1000,5,5e-06,0.2,3
"4",116,0.632048031017114,200,4,0.005,0.3,3
"5",883,0.013156078013765,1000,4,1e-04,0.3,3
"6",567,0.0413369955661838,1000,4,1e-04,0.3,4
"7",99,0.495798341534058,200,5,0.005,0.2,2
"8",49,7.08803099591389e-07,100,5,5e-06,0.1,2
"9",55,0.995916766097677,200,4,0.01,0.2,2
"10",59,1.09063375226328,200,10,0.005,0.2,3
