"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",23,13.7726264714563,500,5,0.005,0.3,3
"2",18,3.35434223338842,100,10,0.005,0.2,3
"3",1,0.00118286780439893,100,10,5e-05,0.1,3
"4",1,37.9999766937379,1000,10,0.01,0.2,2
"5",1,34.4492136385253,1000,5,0.01,0.5,2
"6",26,5.01293255794454e-06,100,5,5e-06,0.2,2
"7",20,4.09700458803764e-05,200,10,5e-06,0.3,3
"8",319,0.0447554812872528,1000,5,5e-05,0.1,4
"9",219,0.0755433250005597,1000,10,5e-05,0.5,3
"10",58,0.00247274366524047,200,4,1e-04,0.5,2
